FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality1,20181239,NSW,9,1992,Sunday,12:50:00.000000000,Single,Yes,No,No,60,Pedestrian,Male,81,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Local Road,No,No,75_or_older,Weekend,Day,1
Fatality2,20182016,Vic,7,1992,Wednesday,09:25:00.000000000,Single,Yes,No,No,40,Pedestrian,Female,96,Major Cities of Australia,Melbourne - North East,Banyule,Collector Road,No,No,75_or_older,Weekday,Day,1
Fatality3,20221119,NSW,9,1990,Wednesday,21:45:00.000000000,Multiple,No,No,No,60,Motorcycle rider,Male,35,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,No,No,26_to_39,Weekday,Night,1
Fatality4,20151046,NSW,1,1993,Monday,14:00:00.000000000,Single,No,No,No,60,Passenger,Female,72,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No,65_to_74,Weekday,Day,1
Fatality5,20171177,NSW,1,1992,Tuesday,10:15:00.000000000,Multiple,No,No,Yes,110,Passenger,Male,49,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,40_to_64,Weekday,Day,1
Fatality6,20211245,NSW,7,1990,Tuesday,15:20:00.000000000,Multiple,No,No,No,100,Driver,Male,21,Inner Regional Australia,Richmond - Tweed,Ballina,National or State Highway,No,No,17_to_25,Weekday,Day,1
Fatality7,20213021,Qld,4,1990,Thursday,16:00:00.000000000,Multiple,Yes,No,No,60,Pedal cyclist,Male,20,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road,No,No,17_to_25,Weekday,Day,1
Fatality8,20163134,Qld,6,1993,Wednesday,15:00:00.000000000,Multiple,No,No,No,60,Motorcycle rider,Male,55,Unknown,Unknown,Unknown,Undetermined,No,No,40_to_64,Weekday,Day,1
Fatality9,20201217,NSW,12,1991,Tuesday,11:33:00.000000000,Multiple,No,No,No,50,Motorcycle rider,Male,18,Major Cities of Australia,Illawarra,Wollongong,Local Road,No,No,17_to_25,Weekday,Day,1
Fatality10,20221115,NSW,8,1990,Sunday,01:11:00.000000000,Multiple,No,No,No,60,Motorcycle rider,Male,23,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,Yes,No,17_to_25,Weekend,Night,1
Fatality11,20211126,NSW,6,1990,Wednesday,13:35:00.000000000,Single,No,No,No,70,Driver,Male,58,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,40_to_64,Weekday,Day,1
Fatality12,20224053,SA,12,1990,Saturday,13:23:00.000000000,Single,No,No,No,100,Driver,Female,66,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Sub-arterial Road,No,No,65_to_74,Weekend,Day,1
Fatality13,20161040,NSW,5,1993,Sunday,14:00:00.000000000,Single,No,No,No,80,Passenger,Male,13,Inner Regional Australia,Riverina,Lockhart,Local Road,No,No,0_to_16,Weekend,Day,1
Fatality14,20163211,Qld,9,1993,Sunday,19:00:00.000000000,Single,No,No,No,80,Passenger,Female,59,Unknown,Unknown,Unknown,Undetermined,No,No,40_to_64,Weekend,Night,1
Fatality15,20214078,SA,5,1990,Monday,13:55:00.000000000,Single,No,No,No,110,Driver,Male,73,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,National or State Highway,No,No,65_to_74,Weekday,Day,1
Fatality16,20193172,Qld,4,1991,Sunday,20:00:00.000000000,Multiple,No,No,No,50,Pedestrian,Male,25,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,No,No,17_to_25,Weekend,Night,1
Fatality17,20153192,Qld,11,1994,Tuesday,07:00:00.000000000,Single,No,No,No,80,Driver,Male,86,Unknown,Unknown,Unknown,Undetermined,No,No,75_or_older,Weekday,Day,1
Fatality18,20181254,NSW,7,1992,Saturday,16:43:00.000000000,Multiple,No,No,No,100,Motorcycle rider,Male,46,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,No,No,40_to_64,Weekend,Day,1
Fatality19,20194082,SA,4,1991,Thursday,12:16:00.000000000,Multiple,No,No,No,80,Motorcycle rider,Male,25,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Arterial Road,No,No,17_to_25,Weekday,Day,1
Fatality20,20152014,Vic,11,1994,Friday,15:35:00.000000000,Multiple,No,No,No,60,Passenger,Male,46,Inner Regional Australia,Shepparton,Moira,Collector Road,No,No,40_to_64,Weekday,Day,2
Fatality21,20223089,Qld,8,1990,Sunday,10:00:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,78,Outer Regional Australia,Townsville,Townsville,National or State Highway,No,No,75_or_older,Weekend,Day,1
Fatality22,20182145,Vic,9,1992,Sunday,19:00:00.000000000,Single,No,No,No,100,Driver,Male,52,Inner Regional Australia,North West,Northern Grampians,Arterial Road,No,No,40_to_64,Weekend,Night,1
Fatality23,20225125,WA,1,1989,Saturday,14:26:00.000000000,Multiple,No,No,No,70,Passenger,Female,81,Major Cities of Australia,Unknown,Unknown,Undetermined,No,No,75_or_older,Weekend,Day,2
Fatality24,20205067,WA,1,1990,Friday,11:15:00.000000000,Single,No,No,No,110,Driver,Female,88,Remote Australia,Western Australia - Wheat Belt,Gnowangerup,Arterial Road,No,No,75_or_older,Weekday,Day,1
Fatality25,20211136,NSW,6,1990,Saturday,08:30:00.000000000,Single,No,No,No,100,Passenger,Female,11,Outer Regional Australia,Riverina,Carrathool,National or State Highway,No,No,0_to_16,Weekend,Day,1
Fatality26,20174039,SA,12,1993,Friday,00:15:00.000000000,Multiple,No,Yes,No,110,Driver,Male,62,Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,40_to_64,Weekday,Night,1
Fatality27,20174033,SA,1,1992,Sunday,11:28:00.000000000,Single,No,No,No,100,Pedestrian,Male,2,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Collector Road,No,No,0_to_16,Weekend,Day,1
