DateID,Day of week,Dayweek,Month,Year
Date1,Weekday,Wednesday,12,2012
Date2,Weekday,Wednesday,6,2001
Date3,Weekday,Wednesday,6,2020
Date4,Weekday,Thursday,2,1995
Date5,Weekday,Friday,7,1995
Date6,Weekday,Friday,5,2003
Date7,Weekend,Friday,1,2002
Date8,Weekday,Friday,12,1989
Date9,Weekday,Thursday,5,2017
Date10,Weekend,Sunday,4,1995
Date11,Weekend,Friday,7,1996
Date12,Weekday,Friday,4,2015
Date13,Weekday,Friday,5,2022
Date14,Weekday,Tuesday,4,2006
Date15,Weekday,Tuesday,2,1996
Date16,Weekday,Wednesday,8,2018
Date17,Weekday,Friday,4,2022
Date18,Weekday,Wednesday,8,2024
Date19,Weekend,Sunday,11,2006
Date20,Weekday,Tuesday,10,2014
Date21,Weekday,Tuesday,9,1992
Date22,Weekday,Tuesday,12,1991
Date23,Weekend,Friday,10,2003
Date24,Weekday,Monday,8,2002
Date25,Weekday,Monday,1,1997
Date26,Weekday,Monday,8,1998
Date27,Weekday,Monday,7,2008
Date28,Weekend,Friday,4,2002
Date29,Weekend,Monday,8,2004
Date30,Weekday,Monday,12,2019
Date31,Weekday,Friday,11,2012
Date32,Weekend,Sunday,7,2021
Date33,Weekend,Sunday,8,1990
Date34,Weekday,Tuesday,6,2020
Date35,Weekend,Sunday,7,2022
Date36,Weekday,Tuesday,9,2021
Date37,Weekday,Monday,10,2007
Date38,Weekday,Thursday,1,2021
Date39,Weekday,Thursday,11,1997
Date40,Weekday,Monday,8,2017
Date41,Weekday,Monday,11,1989
Date42,Weekend,Sunday,3,1993
Date43,Weekday,Tuesday,8,2018
Date44,Weekday,Wednesday,9,1996
Date45,Weekend,Saturday,2,2019
Date46,Weekday,Thursday,3,2002
Date47,Weekday,Tuesday,11,1989
Date48,Weekday,Thursday,7,2022
Date49,Weekend,Monday,7,2000
Date50,Weekend,Sunday,10,2021
Date51,Weekday,Monday,3,2010
Date52,Weekday,Monday,1,2019
Date53,Weekend,Friday,10,2011
Date54,Weekend,Saturday,2,2003
Date55,Weekday,Wednesday,3,1997
Date56,Weekday,Friday,4,1990
Date57,Weekday,Wednesday,4,2011
Date58,Weekend,Sunday,6,1997
Date59,Weekday,Tuesday,9,2024
Date60,Weekday,Friday,7,2024
Date61,Weekday,Thursday,5,2010
Date62,Weekday,Monday,4,2016
Date63,Weekday,Tuesday,10,2002
Date64,Weekday,Wednesday,5,2010
Date65,Weekday,Friday,10,1999
Date66,Weekday,Wednesday,4,1993
Date67,Weekend,Friday,9,2011
Date68,Weekend,Saturday,9,2008
Date69,Weekend,Monday,9,2014
Date70,Weekday,Thursday,7,2024
Date71,Weekend,Friday,9,2014
Date72,Weekend,Monday,5,2003
Date73,Weekday,Tuesday,5,1994
Date74,Weekday,Wednesday,6,2021
Date75,Weekend,Sunday,9,1993
Date76,Weekday,Monday,9,1997
Date77,Weekday,Monday,12,1995
Date78,Weekend,Friday,3,2014
Date79,Weekend,Friday,4,2018
Date80,Weekday,Monday,12,2014
Date81,Weekend,Sunday,6,2020
