GeoID,Ste Name21,Sa4 Name21,Lga Name21,National Remoteness Areas
Geo1,South Australia,Adelaide - Central and Hills,Mount Barker,Major Cities of Australia
Geo2,Western Australia,Perth - North East,Bayswater,Major Cities of Australia
Geo3,Western Australia,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia
Geo4,New South Wales,Far West and Orana,Unincorporated,Very Remote Australia
Geo5,Queensland,Wide Bay,Fraser Coast,Remote Australia
Geo6,South Australia,South Australia - South East,Grant,Outer Regional Australia
Geo7,New South Wales,Sydney - Outer South West,Campbelltown,Major Cities of Australia
Geo8,Victoria,Melbourne - West,Wyndham,Major Cities of Australia
Geo9,Victoria,Hume,Greater Shepparton,Inner Regional Australia
Geo10,Western Australia,Perth - South East,Armadale,Inner Regional Australia
Geo11,Northern Territory,Northern Territory - Outback,Central Desert,Very Remote Australia
Geo12,Northern Territory,Northern Territory - Outback,Wagait,Remote Australia
Geo13,Victoria,Latrobe - Gippsland,East Gippsland,Outer Regional Australia
Geo14,Western Australia,Western Australia - Outback (South),Sandstone,Very Remote Australia
Geo15,Queensland,Central Queensland,Livingstone,Inner Regional Australia
Geo16,Australian Capital Territory,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia
Geo17,New South Wales,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia
Geo18,Western Australia,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia
Geo19,Victoria,Latrobe - Gippsland,Unincorporated Vic,Outer Regional Australia
Geo20,New South Wales,Sydney - South West,Liverpool,Inner Regional Australia
Geo21,Western Australia,Bunbury,Busselton,Inner Regional Australia
Geo22,Western Australia,Western Australia - Wheat Belt,Dumbleyung,Remote Australia
Geo23,Queensland,Queensland - Outback,Weipa,Very Remote Australia
Geo24,Victoria,Ballarat,Moorabool,Inner Regional Australia
Geo25,New South Wales,Sydney - Inner South West,Strathfield,Major Cities of Australia
Geo26,New South Wales,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia
Geo27,New South Wales,Capital Region,Snowy Monaro Regional,Outer Regional Australia
Geo28,Northern Territory,Northern Territory - Outback,Unincorporated NT,Very Remote Australia
Geo29,New South Wales,Riverina,Lockhart,Inner Regional Australia
Geo30,Queensland,Unknown,Unknown,Unknown
Geo31,South Australia,Barossa - Yorke - Mid North,Light,Inner Regional Australia
Geo32,New South Wales,Mid North Coast,Mid-Coast,Outer Regional Australia
Geo33,South Australia,Adelaide - North,Tea Tree Gully,Major Cities of Australia
Geo34,Victoria,Warrnambool and South West,Moyne,Inner Regional Australia
Geo35,New South Wales,Murray,Murray River,Outer Regional Australia
Geo36,Western Australia,Unknown,Unknown,Very Remote Australia
Geo37,South Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Remote Australia
Geo38,Victoria,Shepparton,Moira,Inner Regional Australia
Geo39,Western Australia,Western Australia - Wheat Belt,Chittering,Inner Regional Australia
Geo40,Western Australia,Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia
Geo41,Victoria,Melbourne - West,Melton,Major Cities of Australia
Geo42,Queensland,Wide Bay,Bundaberg,Outer Regional Australia
Geo43,New South Wales,Capital Region,Queanbeyan-Palerang Regional,Outer Regional Australia
Geo44,Queensland,Queensland - Outback,Murweh,Very Remote Australia
Geo45,Western Australia,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia
Geo46,Tasmania,West and North West,Burnie,Outer Regional Australia
Geo47,Western Australia,Perth - North West,Joondalup,Major Cities of Australia
Geo48,South Australia,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia
Geo49,New South Wales,Central West,Lachlan,Remote Australia
Geo50,Western Australia,Western Australia - Wheat Belt,Kent,Remote Australia
Geo51,New South Wales,Central West,Mid-Western Regional,Outer Regional Australia
Geo52,Northern Territory,Northern Territory - Outback,West Arnhem,Remote Australia
Geo53,Western Australia,Perth - South West,Rockingham,Major Cities of Australia
Geo54,New South Wales,Newcastle and Lake Macquarie,Maitland,Major Cities of Australia
Geo55,New South Wales,Murray,Wentworth,Remote Australia
Geo56,New South Wales,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia
Geo57,Western Australia,Western Australia - Outback (North),Broome,Very Remote Australia
Geo58,New South Wales,Sydney - Ryde,Hornsby,Major Cities of Australia
Geo59,Victoria,North West,Hindmarsh,Outer Regional Australia
Geo60,Victoria,Melbourne - South East,Cardinia,Major Cities of Australia
Geo61,Western Australia,Perth - Inner,Mosman Park,Major Cities of Australia
Geo62,Victoria,Bendigo,Loddon,Outer Regional Australia
Geo63,New South Wales,New England and North West,Armidale Regional,Inner Regional Australia
Geo64,Western Australia,Western Australia - Outback (North),Karratha,Remote Australia
Geo65,Western Australia,Perth - South East,Belmont,Major Cities of Australia
Geo66,New South Wales,Murray,Berrigan,Outer Regional Australia
Geo67,South Australia,South Australia - Outback,Wudinna,Very Remote Australia
Geo68,Western Australia,Western Australia - Wheat Belt,Dalwallinu,Remote Australia
Geo69,Tasmania,Unknown,Clarence,Inner Regional Australia
Geo70,Queensland,Townsville,Burdekin,Outer Regional Australia
Geo71,Western Australia,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia
Geo72,New South Wales,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Inner Regional Australia
Geo73,Western Australia,Mandurah,Murray,Inner Regional Australia
Geo74,New South Wales,New England and North West,Glen Innes Severn,Inner Regional Australia
Geo75,New South Wales,Hunter Valley exc Newcastle,Upper Hunter,Inner Regional Australia
Geo76,New South Wales,Central West,Lithgow,Inner Regional Australia
Geo77,Queensland,Cairns,Mareeba,Outer Regional Australia
Geo78,Queensland,Brisbane - East,Redland,Remote Australia
Geo79,New South Wales,Far West and Orana,Broken Hill,Outer Regional Australia
Geo80,Victoria,Mornington Peninsula,Mornington Peninsula,Inner Regional Australia
Geo81,Western Australia,Western Australia - Outback (South),Coolgardie,Very Remote Australia
Geo82,Victoria,Ballarat,Central Goldfields,Inner Regional Australia
Geo83,South Australia,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia
Geo84,New South Wales,Richmond - Tweed,Tweed,Major Cities of Australia
Geo85,Victoria,Melbourne - North East,Mitchell,Inner Regional Australia
Geo86,Queensland,Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia
Geo87,Victoria,Hume,Mitchell,Inner Regional Australia
Geo88,Queensland,Central Queensland,Banana,Remote Australia
Geo89,New South Wales,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia
Geo90,New South Wales,Illawarra,Kiama,Inner Regional Australia
Geo91,New South Wales,New England and North West,Armidale Regional,Outer Regional Australia
Geo92,New South Wales,New England and North West,Uralla,Outer Regional Australia
Geo93,Tasmania,Hobart,Clarence,Inner Regional Australia
Geo94,South Australia,South Australia - Outback,Elliston,Very Remote Australia
Geo95,Western Australia,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia
Geo96,Queensland,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia
Geo97,Queensland,Darling Downs - Maranoa,Western Downs,Remote Australia
Geo98,Tasmania,South East,Central Highlands (Tas.),Outer Regional Australia
Geo99,New South Wales,Richmond - Tweed,Richmond Valley,Outer Regional Australia
Geo100,Victoria,North West,Northern Grampians,Inner Regional Australia
Geo101,New South Wales,Sydney - Parramatta,Fairfield,Major Cities of Australia
Geo102,New South Wales,Central West,Warrumbungle,Outer Regional Australia
Geo103,Queensland,Cairns,Cairns,Outer Regional Australia
Geo104,Western Australia,Western Australia - Wheat Belt,Williams,Outer Regional Australia
Geo105,New South Wales,Capital Region,Eurobodalla,Outer Regional Australia
Geo106,New South Wales,Murray,Greater Hume,Outer Regional Australia
Geo107,New South Wales,Murray,Balranald,Remote Australia
Geo108,South Australia,Adelaide - North,Light,Major Cities of Australia
Geo109,Tasmania,Hobart,Glenorchy,Inner Regional Australia
Geo110,Victoria,Melbourne - North East,Whittlesea,Inner Regional Australia
Geo111,South Australia,South Australia - Outback,Franklin Harbour,Remote Australia
Geo112,Western Australia,Perth - South West,Fremantle,Major Cities of Australia
Geo113,Western Australia,Unknown,Unknown,Unknown
Geo114,Tasmania,West and North West,Circular Head,Outer Regional Australia
Geo115,Western Australia,Perth - South West,Cockburn,Major Cities of Australia
Geo116,Western Australia,Western Australia - Wheat Belt,Trayning,Remote Australia
Geo117,New South Wales,New England and North West,Liverpool Plains,Outer Regional Australia
Geo118,Victoria,Melbourne - Inner,Yarra,Major Cities of Australia
Geo119,Queensland,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia
