TimeID,Time of day,Time
Time1,Day,11:49:00.000000000
Time2,Night,19:45:00.000000000
Time3,Day,17:02:00.000000000
Time4,Night,19:55:00.000000000
Time5,Night,00:50:00.000000000
Time6,Night,20:24:00.000000000
Time7,Day,16:10:00.000000000
Time8,Night,18:58:00.000000000
Time9,Day,17:51:00.000000000
Time10,Night,02:11:00.000000000
Time11,Day,13:57:00.000000000
Time12,Day,11:30:00.000000000
Time13,Night,01:18:00.000000000
Time14,Day,11:48:00.000000000
Time15,Night,20:53:00.000000000
Time16,Day,06:11:00.000000000
Time17,Night,03:11:00.000000000
Time18,Day,12:01:00.000000000
Time19,Night,21:31:00.000000000
Time20,Day,14:12:00.000000000
Time21,Day,09:39:00.000000000
Time22,Night,03:56:00.000000000
Time23,Day,17:45:00.000000000
Time24,Night,10:35:00.000000000
Time25,Night,22:14:00.000000000
Time26,Night,19:46:00.000000000
Time27,Night,09:20:00.000000000
Time28,Day,16:42:00.000000000
Time29,Night,23:06:00.000000000
Time30,Day,11:53:00.000000000
Time31,Night,18:39:00.000000000
Time32,Day,08:53:00.000000000
Time33,Night,05:43:00.000000000
Time34,Day,16:43:00.000000000
Time35,Night,23:17:00.000000000
Time36,Night,21:57:00.000000000
Time37,Night,03:36:00.000000000
Time38,Night,15:57:00.000000000
Time39,Night,22:57:00.000000000
Time40,Night,05:35:00.000000000
Time41,Night,20:59:00.000000000
Time42,Day,10:58:00.000000000
Time43,Day,10:34:00.000000000
Time44,Day,15:28:00.000000000
Time45,Day,11:05:00.000000000
Time46,Night,01:03:00.000000000
Time47,Day,15:35:00.000000000
Time48,Night,23:51:00.000000000
Time49,Day,14:27:00.000000000
Time50,Day,13:52:00.000000000
Time51,Night,19:34:00.000000000
Time52,Day,07:31:00.000000000
Time53,Day,07:13:00.000000000
Time54,Day,12:30:00.000000000
Time55,Night,04:37:00.000000000
Time56,Night,22:09:00.000000000
Time57,Day,11:45:00.000000000
Time58,Night,03:00:00.000000000
Time59,Night,05:07:00.000000000
Time60,Day,13:16:00.000000000
Time61,Day,16:38:00.000000000
Time62,Night,23:37:00.000000000
Time63,Day,16:36:00.000000000
Time64,Day,06:40:00.000000000
Time65,Day,07:19:00.000000000
Time66,Night,03:32:00.000000000
Time67,Night,19:35:00.000000000
Time68,Night,05:20:00.000000000
Time69,Night,21:48:00.000000000
Time70,Night,03:46:00.000000000
Time71,Day,09:08:00.000000000
Time72,Day,15:15:00.000000000
Time73,Day,06:42:00.000000000
Time74,Night,01:14:00.000000000
Time75,Day,08:21:00.000000000
Time76,Night,14:40:00.000000000
Time77,Night,13:15:00.000000000
Time78,Night,03:52:00.000000000
Time79,Night,22:48:00.000000000
Time80,Night,21:01:00.000000000
Time81,Night,01:33:00.000000000
Time82,Day,07:18:00.000000000
Time83,Day,17:20:00.000000000
Time84,Night,19:13:00.000000000
Time85,Day,10:42:00.000000000
Time86,Night,13:52:00.000000000
Time87,Night,21:03:00.000000000
Time88,Night,19:06:00.000000000
Time89,Night,05:34:00.000000000
Time90,Night,13:00:00.000000000
Time91,Night,00:32:00.000000000
Time92,Day,06:25:00.000000000
Time93,Night,04:02:00.000000000
Time94,Night,18:34:00.000000000
Time95,Day,07:39:00.000000000
Time96,Day,07:54:00.000000000
Time97,Day,10:02:00.000000000
Time98,Night,00:07:00.000000000
Time99,Day,16:05:00.000000000
Time100,Night,01:24:00.000000000
Time101,Night,18:54:00.000000000
Time102,Night,19:22:00.000000000
Time103,Day,06:33:00.000000000
Time104,Night,11:04:00.000000000
Time105,Day,13:27:00.000000000
Time106,Night,21:55:00.000000000
Time107,Night,20:23:00.000000000
Time108,Night,05:56:00.000000000
Time109,Night,03:25:00.000000000
Time110,Night,20:14:00.000000000
Time111,Night,02:50:00.000000000
Time112,Night,02:36:00.000000000
Time113,Night,03:39:00.000000000
Time114,Night,22:18:00.000000000
Time115,Day,12:47:00.000000000
Time116,Day,16:53:00.000000000
Time117,Day,13:35:00.000000000
Time118,Day,07:33:00.000000000
Time119,Day,07:12:00.000000000
Time120,Night,21:10:00.000000000
Time121,Day,15:04:00.000000000
Time122,Day,07:32:00.000000000
Time123,Night,21:42:00.000000000
Time124,Night,19:08:00.000000000
Time125,Night,23:25:00.000000000
Time126,Day,10:13:00.000000000
Time127,Day,16:48:00.000000000
Time128,Day,11:29:00.000000000
Time129,Night,22:46:00.000000000
Time130,Night,10:48:00.000000000
Time131,Night,03:54:00.000000000
Time132,Day,13:14:00.000000000
Time133,Night,22:08:00.000000000
Time134,Night,00:35:00.000000000
Time135,Day,08:52:00.000000000
Time136,Night,02:28:00.000000000
Time137,Day,06:28:00.000000000
Time138,Day,10:41:00.000000000
Time139,Night,20:31:00.000000000
Time140,Day,15:40:00.000000000
Time141,Night,20:20:00.000000000
Time142,Night,20:55:00.000000000
Time143,Night,20:42:00.000000000
Time144,Night,02:57:00.000000000
Time145,Night,07:00:00.000000000
Time146,Day,12:57:00.000000000
Time147,Day,12:18:00.000000000
Time148,Day,10:47:00.000000000
Time149,Night,01:06:00.000000000
Time150,Night,04:12:00.000000000
Time151,Night,21:25:00.000000000
Time152,Day,08:03:00.000000000
Time153,Night,16:38:00.000000000
Time154,Day,13:59:00.000000000
Time155,Day,17:26:00.000000000
Time156,Day,14:31:00.000000000
Time157,Day,11:01:00.000000000
Time158,Night,20:05:00.000000000
Time159,Day,16:07:00.000000000
Time160,Day,10:46:00.000000000
Time161,Night,22:06:00.000000000
Time162,Day,13:21:00.000000000
Time163,Night,04:05:00.000000000
Time164,Night,19:44:00.000000000
Time165,Day,17:03:00.000000000
Time166,Night,19:37:00.000000000
Time167,Night,20:45:00.000000000
Time168,Night,21:30:00.000000000
Time169,Day,07:28:00.000000000
Time170,Day,08:39:00.000000000
Time171,Day,11:38:00.000000000
Time172,Night,03:55:00.000000000
Time173,Day,16:52:00.000000000
Time174,Day,14:36:00.000000000
Time175,Day,06:00:00.000000000
Time176,Day,09:15:00.000000000
Time177,Night,22:11:00.000000000
Time178,Night,05:14:00.000000000
Time179,Day,15:33:00.000000000
Time180,Night,01:58:00.000000000
Time181,Night,22:33:00.000000000
Time182,Night,18:12:00.000000000
Time183,Day,08:56:00.000000000
Time184,Day,11:40:00.000000000
Time185,Day,10:04:00.000000000
Time186,Night,00:53:00.000000000
Time187,Night,02:07:00.000000000
Time188,Day,06:37:00.000000000
Time189,Night,15:31:00.000000000
Time190,Day,16:08:00.000000000
Time191,Night,01:21:00.000000000
Time192,Night,15:56:00.000000000
Time193,Night,23:40:00.000000000
Time194,Night,00:49:00.000000000
Time195,Day,17:48:00.000000000
Time196,Day,07:02:00.000000000
Time197,Day,17:52:00.000000000
Time198,Day,07:48:00.000000000
Time199,Night,18:07:00.000000000
Time200,Day,15:16:00.000000000
Time201,Night,13:05:00.000000000
Time202,Night,22:44:00.000000000
Time203,Night,16:07:00.000000000
Time204,Night,05:32:00.000000000
Time205,Night,21:32:00.000000000
Time206,Day,08:00:00.000000000
Time207,Night,19:15:00.000000000
Time208,Day,07:01:00.000000000
Time209,Night,18:37:00.000000000
Time210,Day,11:36:00.000000000
Time211,Day,16:39:00.000000000
Time212,Night,19:25:00.000000000
Time213,Night,01:04:00.000000000
Time214,Day,10:39:00.000000000
Time215,Night,03:49:00.000000000
Time216,Day,14:58:00.000000000
Time217,Night,01:39:00.000000000
Time218,Day,09:36:00.000000000
Time219,Day,16:32:00.000000000
Time220,Day,13:05:00.000000000
Time221,Day,10:16:00.000000000
Time222,Day,08:59:00.000000000
Time223,Night,05:31:00.000000000
Time224,Day,09:46:00.000000000
Time225,Day,17:05:00.000000000
Time226,Day,11:14:00.000000000
Time227,Day,07:15:00.000000000
Time228,Day,06:51:00.000000000
Time229,Night,05:39:00.000000000
Time230,Night,00:11:00.000000000
Time231,Night,00:34:00.000000000
Time232,Night,00:54:00.000000000
Time233,Day,08:47:00.000000000
Time234,Day,07:05:00.000000000
Time235,Day,08:44:00.000000000
Time236,Night,10:40:00.000000000
Time237,Night,05:16:00.000000000
Time238,Night,21:38:00.000000000
Time239,Day,14:37:00.000000000
Time240,Day,08:40:00.000000000
Time241,Night,15:20:00.000000000
Time242,Day,17:22:00.000000000
Time243,Day,10:57:00.000000000
Time244,Night,00:25:00.000000000
Time245,Night,01:53:00.000000000
Time246,Day,14:30:00.000000000
Time247,Day,15:00:00.000000000
Time248,Day,17:28:00.000000000
Time249,Day,17:09:00.000000000
Time250,Night,21:46:00.000000000
Time251,Night,03:33:00.000000000
Time252,Night,19:11:00.000000000
Time253,Day,11:18:00.000000000
Time254,Night,19:36:00.000000000
Time255,Day,10:22:00.000000000
Time256,Day,17:53:00.000000000
Time257,Night,18:25:00.000000000
Time258,Day,08:14:00.000000000
Time259,Day,13:31:00.000000000
Time260,Night,01:47:00.000000000
Time261,Day,07:34:00.000000000
Time262,Night,19:17:00.000000000
Time263,Day,12:29:00.000000000
