FatalityId,Crash ID,Speed Limit,Number Fatalities,DateID,GeoID,FatalityId_right,CrashID,RoadId,VehicleId,TimeID,HolidayID
Fatality1,20181239,60,1,Date1911,Geo471,Fatalities34,Crash1,Road39,Vehicle5,Time1376,Holiday3
Fatality2,20182016,40,1,Date781,Geo579,Fatalities88,Crash1,Road49,Vehicle5,Time538,Holiday3
Fatality3,20221119,60,1,Date652,Geo210,Fatalities40,Crash2,Road25,Vehicle6,Time1499,Holiday3
Fatality4,20151046,60,1,Date3151,Geo13,Fatalities56,Crash1,Road31,Vehicle6,Time493,Holiday3
Fatality5,20171177,110,1,Date1538,Geo116,Fatalities93,Crash2,Road57,Vehicle4,Time343,Holiday3
Fatality6,20211245,100,1,Date3251,Geo476,Fatalities37,Crash2,Road47,Vehicle6,Time396,Holiday3
Fatality7,20213021,60,1,Date929,Geo488,Fatalities124,Crash2,Road52,Vehicle5,Time854,Holiday3
Fatality8,20163134,60,1,Date825,Geo479,Fatalities203,Crash2,Road58,Vehicle6,Time247,Holiday3
Fatality9,20201217,50,1,Date384,Geo796,Fatalities181,Crash2,Road36,Vehicle6,Time1481,Holiday3
Fatality10,20221115,60,1,Date599,Geo210,Fatalities118,Crash2,Road25,Vehicle6,Time1364,Holiday2
Fatality11,20211126,70,1,Date1737,Geo130,Fatalities60,Crash1,Road47,Vehicle6,Time117,Holiday3
Fatality12,20224053,100,1,Date3387,Geo19,Fatalities109,Crash1,Road44,Vehicle6,Time268,Holiday3
Fatality13,20161040,80,1,Date220,Geo708,Fatalities112,Crash1,Road50,Vehicle6,Time493,Holiday3
Fatality14,20163211,80,1,Date1438,Geo479,Fatalities91,Crash1,Road16,Vehicle6,Time1047,Holiday3
Fatality15,20214078,110,1,Date415,Geo535,Fatalities122,Crash1,Road47,Vehicle6,Time444,Holiday3
Fatality16,20193172,50,1,Date3069,Geo593,Fatalities80,Crash2,Road39,Vehicle6,Time1041,Holiday3
Fatality17,20153192,80,1,Date792,Geo479,Fatalities90,Crash1,Road56,Vehicle6,Time456,Holiday3
Fatality18,20181254,100,1,Date2161,Geo605,Fatalities141,Crash2,Road22,Vehicle6,Time34,Holiday3
Fatality19,20194082,80,1,Date2149,Geo631,Fatalities80,Crash2,Road25,Vehicle6,Time615,Holiday3
Fatality20,20152014,60,2,Date3518,Geo366,Fatalities141,Crash2,Road13,Vehicle6,Time47,Holiday3
Fatality21,20223089,100,1,Date599,Geo582,Fatalities196,Crash1,Road22,Vehicle6,Time393,Holiday3
Fatality22,20182145,100,1,Date1911,Geo222,Fatalities2,Crash1,Road43,Vehicle6,Time1047,Holiday3
Fatality23,20225125,70,2,Date2747,Geo230,Fatalities6,Crash2,Road16,Vehicle6,Time735,Holiday3
Fatality24,20205067,110,1,Date3280,Geo151,Fatalities49,Crash1,Road43,Vehicle6,Time1463,Holiday3
Fatality25,20211136,100,1,Date1345,Geo583,Fatalities166,Crash1,Road57,Vehicle6,Time1195,Holiday3
Fatality26,20174039,110,1,Date3104,Geo600,Fatalities182,Crash2,Road47,Vehicle7,Time284,Holiday3
Fatality27,20174033,100,1,Date1645,Geo631,Fatalities3,Crash1,Road49,Vehicle6,Time695,Holiday3
